smiles,delta_g_kcal_mol,source,role,parent_name,canonical_smiles
C[C@H1](C)OCCC=CSCCNC=C=CC#C,-2.67,augment,,,C#CC=C=CNCCSC=CCCOC(C)C
C#CC=C=NC/C(NC=NC1=O)=C1NC=CC=C,-3.32,augment,,,C#CC=C=NCc1[nH]cnc(=O)c1NC=CC=C
C#CC=C=NCC(=C[N-1]1)C=NC=CN1C=CC2=CNC(O)C=CC=CC=CC=CO2,-3.72,augment,,,C#CC=C=NCc1cnccn(C=CC2=CNC(O)C=CC=CC=CC=CO2)[n-]c1
CC=CC#C,-2.16,augment,,,C#CC=CC
CCNC(=O)C(=O)C=CCC#CC=CC#C,-3.05,augment,,,C#CC=CC#CCC=CC(=O)C(=O)NCC
CC(=C)N(C)C=C(CC)CCCCNCCOC#CC=CC#C,-3.2,augment,,,C#CC=CC#COCCNCCCCC(=CN(C)C(=C)C)CC
CCNN(CON)CCN1C(=O)NCCC(F)C=C1OC=CC(CC)(C)C=CC#C,-2.64,augment,,,C#CC=CC(C)(C=COC1=CC(F)CCNC(=O)N1CCN(CON)NCC)CC
CCC=CC(N)C(CCNC=O)C=CC#C,-2.23,augment,,,C#CC=CC(CCNC=O)C(N)C=CCC
C1OC(=O)C=C1C=COCC(=O)C(O)C=CC#C,-3.65,augment,,,C#CC=CC(O)C(=O)COC=CC1=CC(=O)OC1
C=CCNC=CC=CCOCC(=O)NC(O)C1=CC=CCC1(C=CC#C)C,-3.22,augment,,,C#CC=CC1(C)CC=CC=C1C(O)NC(=O)COCC=CC=CNCC=C
C#CC=CC1=CC#CC(=O)NC2OC=CCC=C12,-4.19,augment,,,C#CC=CC1=CC#CC(=O)NC2OC=CCC=C12
C1=C(C=C(O)C=CCN)C(=N)C=C1C=CC#C,-3.71,augment,,,C#CC=CC1=CC(=N)C(C=C(O)C=CCN)=C1
C#CC=CC=C1CONC(=O)C(C=CSCOC=C1)C=CC=CC=CC=C[O-1],-4.26,augment,,,C#CC=CC=C1C=COCSC=CC(C=CC=CC=CC=C[O-])C(=O)NOC1
O=CCCC=C1SC=CS2=NCOC=CNCC=C1SCC2(N=C)C=CC=CC=CC=CC#C,-4.23,augment,,,C#CC=CC=CC=CC=CC1(N=C)CSC2=CCNC=COCN=S1C=CSC2=CCCC=O
C#CC=CC=CC=CN=C(Cl)NNN/C=NC=NC1(S)CSCC1=C,-4.38,augment,,,C#CC=CC=CC=CN=C(Cl)NNNC=NC=NC1(S)CSCC1=C
CC([O-1])C1C[C@H1](CCC1CCCNCC)C=CC=CC=CC#C,-4.13,augment,,,C#CC=CC=CC=C[C@H]1CCC(CCCNCC)C(C(C)[O-])C1
COC=CC1C[C@@H1]1N(C=O)C=CC=CC#C,-3.01,augment,,,C#CC=CC=CN(C=O)[C@H]1CC1C=COC
COC=CCCC=CC(=C)C=CCCONC=NC=CN1CCCC1=NC=CC=CC#C,-4.19,augment,,,C#CC=CC=CN=C1CCCN1C=CN=CNOCCC=CC(=C)C=CCCC=COC
CCCCCNC([NH1+1])CSCC[C@@H1](C(=O)N)CCOC=CC=CC#C,-2.28,augment,,,C#CC=CC=COCC[C@@H](CCSCC([NH+])NCCCCC)C(N)=O
CCOC=CC(C(=O)C(=N)NCCl)CC=CC#C,-2.91,augment,,,C#CC=CCC(C=COCC)C(=O)C(=N)NCCl
C#CC=CCC=CC=CC(COC(O)C=C1C2)C2C=C1CC,-4.12,augment,,,C#CC=CCC=CC=CC1COC(O)C=C2CC1C=C2CC
CC(CC(C(=O)C)=O)CCCC=CCC=CC#C,-3.17,augment,,,C#CC=CCC=CCCCC(C)CC(=O)C(C)=O
CCC(CN1C=CC=C1COCC)(C)N(C=CC2=CC=CC2)CC=CC#C,-3.96,augment,,,C#CC=CCN(C=CC1=CC=CC1)C(C)(CC)Cn1cccc1COCC
C#CC=CN=C(CNC=C)C(C)OC(C1CC=CC=C1C)=O,-2.88,augment,,,C#CC=CN=C(CNC=C)C(C)OC(=O)C1CC=CC=C1C
CC=NC=CC#C,-2.65,augment,,,C#CC=CN=CC
C#CC=CN=CC=C1SC[C@H1](C2CC=CC2C=O)C1(C(C)(F)CCF)C,-3.99,augment,,,C#CC=CN=CC=C1SC[C@H](C2CC=CC2C=O)C1(C)C(C)(F)CCF
CCOCCCN=CC(CCC=CSC1=NN=CN)C1CCSC=CC#C,-3.47,augment,,,C#CC=CSCCC1C(=NN=CN)SC=CCCC1C=NCCCOCC
COC(=O)CCCC1CN1OC[C@@H1](C)C=CC#C,-2.53,augment,,,C#CC=C[C@H](C)CON1CC1CCCC(=O)OC
C#CC=NC=CC(C)=CCF,-3.06,augment,,,C#CC=NC=CC(C)=CCF
C#CC=NCCCC=CC1=C(CC=NC2=C1)CCOC=C2CC=CC=C(C)C=CC,-4.55,augment,,,C#CC=NCCCC=CC1=C2CC=NC(=C1)C(CC=CC=C(C)C=CC)=COCC2
C#CC=NC[C@H1](CCC(=O)N[C@@H1](C1)CCCC2=C1CC)C2,-4.55,augment,,,C#CC=NC[C@@H]1CCC(=O)N[C@@H]2CCCC(=C(CC)C2)C1
CCC#C,-1.73,augment,,,C#CCC
CCCCNCSNC(=C)C(=C)C=C=C(C)C#CCC#C,-3.07,augment,,,C#CCC#CC(C)=C=CC(=C)C(=C)NSCNCCCC
CC=CC=CC=CC(=O)CC#C,-3.66,augment,,,C#CCC(=O)C=CC=CC=CC
COC(=O)CC=CC=C/C1(NSCCC(=O)CC#C)NN1CCCC=CC=CC2CO2,-3.59,augment,,,C#CCC(=O)CCSNC1(C=CC=CCC(=O)OC)NN1CCCC=CC=CC1CO1
C#CCC(C=O)CNCCNC(C)(C=O)CC=CF,-1.44,augment,,,C#CCC(C=O)CNCCNC(C)(C=O)CC=CF
CCCCCCC=CCCC=CCC[C@@H1](C)NC(CC)CC#C,-2.38,augment,,,C#CCC(CC)N[C@H](C)CCC=CCCC=CCCCCCC
COC=CC=CC(N)CCNC(=O)CC(CCCC(C)O)CC#C,-2.56,augment,,,C#CCC(CCCC(C)O)CC(=O)NCCC(N)C=CC=COC
CC=CC(CC=NC)(O)C=CCC=CNNCCSCCC(O)CC#C,-1.96,augment,,,C#CCC(O)CCSCCNNC=CCC=CC(O)(C=CC)CC=NC
O=C(CO)C1=C(CC=CC=C(C2)C2[C@H1]1CNC)CC#C,-4.41,augment,,,C#CCC1=C(C(=O)CO)[C@H](CNC)C2CC2=CC=CC1
O[C@@H1](C)N1C=CC(=O)C(Cl)=C(C=C(C)CN1C)CC#C,-3.53,augment,,,C#CCC1=C(Cl)C(=O)C=CN([C@H](C)O)N(C)CC(C)=C1
COC=C1C=C1CC#C,-2.79,augment,,,C#CCC1=CC1=COC
CCN=C(C=CC=C=CCC1=O)CCC1CNN=CCCCC2C=C2CC#C,-3.45,augment,,,C#CCC1=CC1CCCC=NNCC1CCC(=NCC)C=CC=C=CCC1=O
C#CCC=C=C(SSC)C(=C)N=CCCCCCC=C,-3.01,augment,,,C#CCC=C=C(SSC)C(=C)N=CCCCCCC=C
[NH3+1]CC=CC=CC=CCC#C,-2.98,augment,,,C#CCC=CC=CC=CC[NH3+]
N[C@@H1](C)CN=CCOC(N)C(=O)N=CCC#C,-1.9,augment,,,C#CCC=NC(=O)C(N)OCC=NC[C@H](C)N
C#CCCC#CSCNCCCC=C1C2=CC=C1C2=C,-3.0,augment,,,C#CCCC#CSCNCCCC=C1C2=CC=C1C2=C
CCC(C)CCC#C,-2.21,augment,,,C#CCCC(C)CC
C1OC=CC=C1C=CC(O)NNC(=O)N2C(C3)=CC=C2CC=C3CCC#C,-4.38,augment,,,C#CCCC1=CCc2ccc(n2C(=O)NNC(O)C=CC2=CC=COC2)C1
CC(C)OC(C1)(C)CC(=C)C1CCC#C,-3.21,augment,,,C#CCCC1CC(C)(OC(C)C)CC1=C
C#CCCC1CC(C)N1CCl,-2.5,augment,,,C#CCCC1CC(C)N1CCl
CC[C@@H1](C)C(O)OC=CC=C(N)CC[NH2+1]NC=NC=CCCC#C,-2.88,augment,,,C#CCCC=CN=CN[NH2+]CCC(N)=CC=COC(O)[C@H](C)CC
CCCCC#C,-1.94,augment,,,C#CCCCC
O=C(CC=CC=CC(=C)CO)C=CC=C(F)CCCC#C,-3.56,augment,,,C#CCCCC(F)=CC=CC(=O)CC=CC=CC(=C)CO
C#CCCCC=CC1CC=NNCCNC=CC=N1,-3.09,augment,,,C#CCCCC=CC1CC=NNCCNC=CC=N1
CC(C)N(CN=C1CC2C(=O)C=C2C=CC=CN1)CCCC#C,-4.37,augment,,,C#CCCCN(CN=C1CC2C(=O)C=C2C=CC=CN1)C(C)C
COC(=O)C=C=CN=C(NC=N1)N(CCC#C)C1C=C,-2.6,augment,,,C#CCCN1C(=NC=C=CC(=O)OC)NC=NC1C=C
O=C(N)CCCC=C([N+1](F)C=CSC)CC=CC=COCCC#C,-3.82,augment,,,C#CCCOC=CC=CCC(=CCCCC(N)=O)[N+](F)C=CSC
CCOCCNC(=O)CCCCSNC(CCOCCC#C)CC,-0.02,augment,,,C#CCCOCCC(CC)NSCCCCC(=O)NCCOCC
C#CCC[C@@H1](C1)C=CC=C1CCC=O,-4.14,augment,,,C#CCC[C@@H]1C=CC=C(CCC=O)C1
C#CCN(NC=CCCC1(C)NC2)C=C2C(=C)C(C)C1,-4.48,augment,,,C#CCN1C=C2CNC(C)(CCC=CN1)CC(C)C2=C
C#CCN=NN1/C=CC=CC(CN)C=NNC1C(=O)N=C[NH1+1](CCCF)F,-3.36,augment,,,C#CCN=NN1C=CC=CC(CN)C=NNC1C(=O)N=C[NH+](F)CCCF
C#CCNC=CCC1=CN=C(CC)NC1C2=CCC=C2CF,-3.71,augment,,,C#CCNC=CCC1=CN=C(CC)NC1C1=CCC=C1CF
C#CCNC=NC(OCCC1=O)C1CCC,-3.28,augment,,,C#CCNC=NC1OCCC(=O)C1CCC
C#CCNCCCC(NCCC(ON1)NCC2CCCC2=N3)C=C=NC13CC,-3.75,augment,,,C#CCNCCCC1C=C=NC2(CC)N=C3CCCC3CNC(CCN1)ON2
CCCC=CNCC(=O)C[NH1+1]CCNC=NCCCNCC#C,-0.56,augment,,,C#CCNCCCN=CNCC[NH+]CC(=O)CNC=CCCC
C#CCNNCNC(N)CCN[C@@H1](C=O)CCl,-0.46,augment,,,C#CCNNCNC(N)CCN[C@@H](C=O)CCl
C#CCOC1=CC#CNN1C=O,-3.27,augment,,,C#CCOC1=CC#CNN1C=O
C#CCOC=CC=CC(C=O)CF,-2.87,augment,,,C#CCOC=CC=CC(C=O)CF
C#CCOCCC,-2.21,augment,,,C#CCOCCC
C#CCONNC(C)C=O,-3.46,augment,,,C#CCONNC(C)C=O
C#CC[C@@H1](N)NC(=O)NC=C1C(C1(C)CC=CCNC2)CC=CC2C,-4.61,augment,,,C#CC[C@@H](N)NC(=O)NC=C1C2CC=CC(C)CNCC=CCC12C
O=C(OCC=NNCC(C=CC=CC1)O2)N2OC1C=CC=NC#C,-4.38,augment,,,C#CN=CC=CC1CC=CC=CC2CNN=CCOC(=O)N(O1)O2
COC=C1C=CC2=C1CC=C(N)NCCNCCCCCN2C=NC#C,-5.0,augment,,,C#CN=CN1CCCCCNCCNC(N)=CCC2=C1C=CC2=COC
CCCSC1(C=C1CNC=NC#C)C(C)CC=C2NC23CC3,-3.67,augment,,,C#CN=CNCC1=CC1(SCCC)C(C)CC=C1NC12CC2
C#CNC=CCSNCC(F)(C)C=CC=NC,-2.59,augment,,,C#CNC=CCSNCC(C)(F)C=CC=NC
CCNC#C,-2.09,augment,,,C#CNCC
C#CNCC=C,-2.15,augment,,,C#CNCC=C
CCC[NH1]C#C,-2.2,augment,,,C#CNCCC
C1C=CC=CC=CN(CC=NC[C@@H1](O)CC1O)NC#C,-4.01,augment,,,C#CNN1C=CC=CC=CCC(O)C[C@H](O)CN=CC1
C#CNN1NC(=O)NCC=CCCC2CC2NC1=O,-4.3,augment,,,C#CNN1NC(=O)NCC=CCCC2CC2NC1=O
C#CNSCNC=CCCC=CC=CN,-3.09,augment,,,C#CNSCNC=CCCC=CC=CN
COC=C(C=O)OC#C,-2.52,augment,,,C#COC(C=O)=COC
CCC(O)CCOC#C,-2.77,augment,,,C#COCCC(O)CC
CCC[C@@H1](C[NH2+1]C(=C)C(C)(NC)CCCCF)COC#C,-2.76,augment,,,C#COC[C@@H](CCC)C[NH2+]C(=C)C(C)(CCCCF)NC
CCCC1C(CCC[C@@H1]1CCOC(=O)CCO)=CSC#C,-3.87,augment,,,C#CSC=C1CCC[C@H](CCOC(=O)CCO)C1CCC
C=CC=CC=CC=C1C=CC2=C1NC(NC)NC(=O)C[C@@H1]2C#C,-4.69,augment,,,C#C[C@H]1CC(=O)NC(NC)NC2=C1C=CC2=CC=CC=CC=C
C1CCC=CC=C1SCC#CCC2C=C2NCCOC[NH1]C3=CC=CC=C3,-3.91,augment,,,C(#CCC1C=C1NCCOCNc1ccccc1)CSC1=CC=CCCC1
C1#CCCCNC=C1C2C=C2,-3.63,augment,,,C1#CC(C2C=C2)=CNCCC1
C1CCSC1CCC2C#C2,-3.02,augment,,,C1#CC1CCC1CCCS1
C1CC=CCC#C1,-2.65,augment,,,C1#CCCC=CC1
C1#CCCC=CC=C1,-3.09,augment,,,C1#CCCC=CC=C1
C1CCC=CC#C1,-2.8,augment,,,C1#CCCCC=C1
C1C=NC#C1,-2.58,augment,,,C1#CN=CC1
C1#CC=CCN1,-2.7,augment,,,C1#CNCC=C1
C1#CCO1,-2.56,augment,,,C1#COC1
C1C=C2C=C21,-2.43,augment,,,C1=C2C=C2C1
C=1C=CC=C=C=1,-2.54,augment,,,C1=C=CC=CC=1
C1CCC=C=C=C1,-2.78,augment,,,C1=C=CCCCC=1
C1C=C1,-1.8,augment,,,C1=CC1
C1CCC(C=CC2)=C12,-3.36,augment,,,C1=CC2=C(C1)CCC2
C1C=C(CCCC2)C=CCC3N=C2CCCNC4CNC=C3C4C1,-5.03,augment,,,C1=CC2=CCCC3C4=CNCC3NCCCC(=NC4C1)CCCC2
C123CCN1C=C2CCCC=CC4=CC5=CC=CC=C5CCC4CNS3,-5.47,augment,,,C1=CC2=Cc3ccccc3CCC2CNSC23CCN2C=C3CCC1
C12C=NCC=CC1N3SCCOCCCNCCCC=C3C2,-4.59,augment,,,C1=CC2C(C=NC1)CC1=CCCCNCCCOCCSN12
C1CCC=CC2C=C2C=N1,-3.65,augment,,,C1=CC2C=C2C=NCCC1
C12CCC=CC3CC=CC3C1C2,-4.26,augment,,,C1=CC2CC=CC2C2CC2CC1
C1CN=C2CCCC2C=C1,-3.66,augment,,,C1=CC2CCCC2=NCC1
C1C=NC=CC(=CSOCC2CC3=CC=C2)C=C3OC4NC4OO1,-5.42,augment,,,C1=CC2COSC=C3C=CN=CCOOC4NC4OC(=C3)C(=C1)C2
C1CC=C=CC=C1C=CCC23CCCCC2C[C@H1]4CCCCCCCCSC[C@@H1]4COO3,-6.69,augment,,,C1=CC=C(C=CCC23CCCCC2C[C@H]2CCCCCCCCSC[C@@H]2COO3)CCC=1
C12C=CC=C=CC=NC1C=CC2,-4.03,augment,,,C1=CC=CC2CC=CC2N=CC=1
C=1CC=CC=C=1,-2.47,augment,,,C1=CC=CCC=1
C=1C=CCCNC=C=1,-2.95,augment,,,C1=CC=CCCNC=1
C=1OC=CC=C=1,-2.6,augment,,,C1=CC=COC=1
C=1C=CSC=C=1,-2.44,augment,,,C1=CC=CSC=1
C=1C=NN=C=1,-3.12,augment,,,C1=CC=NN=1
C1C(CC=C1)NC(O2)CCCC2,-3.74,augment,,,C1=CCC(NC2CCCCO2)C1
C1C=CC=C1,-2.33,augment,,,C1=CCC=C1
C1C=CCC=C1,-2.45,augment,,,C1=CCC=CC1
C1C=NC=CC=C1,-2.88,augment,,,C1=CCC=NC=C1
C1CCC=C1,-2.3,augment,,,C1=CCCC1
C12CCC=C=C1C2,-2.88,augment,,,C1=CCCC2CC=12
C=1CC[C@@H1]=C=1,-2.27,augment,,,C1=CCCC=1
C=1CCCC=C=1,-2.5,augment,,,C1=CCCCC=1
C=1CCCN=C=1,-2.82,augment,,,C1=CCCCN=1
C1CC=C=N1,-2.75,augment,,,C1=CCCN=1
C1CC=C=N[NH1]1,-3.25,augment,,,C1=CCCNN=1
C=1CN=C=1,-2.38,augment,,,C1=CCN=1
C=1CNSN=C=1,-3.22,augment,,,C1=CCNSN=1
C1OC=CC=C1,-2.67,augment,,,C1=CCOC=C1
C=1COC=NC=C=1,-2.56,augment,,,C1=CCOC=NC=1
C1C=NCCC2N1C=CCCO2,-3.53,augment,,,C1=CN2CC=NCCC2OCC1
C1C=NC=C1,-2.63,augment,,,C1=CN=CC1
C1CCCCN1C=CCCSC2=CC=C3C=NC=CCC=C3S2,-4.67,augment,,,C1=CN=CC2=CC=C(SCCC=CN3CCCCC3)SC2=CC1
C12CC3CC1C=CC=NC=CC=C32,-4.25,augment,,,C1=CN=CC=CC2CC3CC2C3=C1
N1C=NN1COC2NC=CC=NC=CC=C3C=C32,-4.65,augment,,,C1=CN=CC=CNC(OCn2nc[nH]2)C2=CC2=C1
C1C=C[NH1]1,-2.09,augment,,,C1=CNC1
C1CNC=CC1,-2.66,augment,,,C1=CNCCC1
C1CCC=CNCN1N2SC3=CC4=C2C=C3C=NO4,-3.95,augment,,,C1=CNCN(n2sc3cc4oncc3cc42)CCC1
C1CC2=C1CSCNC=CC=C3CCC24C3C5=CCC5=C4,-5.17,augment,,,C1=CNCSCC2=C(CC2)C23C=C4CC=C4C2C(=C1)CC3
C1=CCC(C=C1OC=CC=CN2)C=N2,-4.34,augment,,,C1=CNN=CC2C=C(C=CC2)OC=C1
C1=CO1,-2.08,augment,,,C1=CO1
C1C2OC=CC=C12,-2.95,augment,,,C1=COC2CC2=C1
C=1OC=NC[C@@H1]=1,-2.54,augment,,,C1=COC=NC1
C1OC=CC=C2CC3CC=C2C1(N34)O4,-3.98,augment,,,C1=COCC23ON2C2CC=C3C(=C1)C2
C1OC=CCC2C=C12,-3.08,augment,,,C1=COCC2=CC2C1
C1COC=CC=C1SCCNNC(O2)C34CC=CC3C42,-4.1,augment,,,C1=COCCC(SCCNNC2OC3C4C=CCC243)=C1
C1OC=CCC1,-2.72,augment,,,C1=COCCC1
C1C(N(SC2)CCC=COC1)SC=NC=NCC2,-4.06,augment,,,C1=COCCC2SC=NC=NCCCSN2CC1
C1OC=CNC1,-2.74,augment,,,C1=COCCN1
C1C=CSC=N1,-2.6,augment,,,C1=CSC=NC1
C1[C@H1](C=C1CC=C2)CS2,-3.26,augment,,,C1=CSC[C@H]2C=C(C1)C2
C1C=N1,-1.85,augment,,,C1=NC1
C123CN=C=N[C@@H1]1C=C2CC[NH1]3,-4.21,augment,,,C1=NCC23NCCC2=C[C@H]3N=1
C=1CCCN=1,-2.61,augment,,,C1=NCCC1
C1OCC=N1,-2.25,augment,,,C1=NCOC1
C1C2CCC[C@@H1]2C[NH1+1](C3)[NH1+1]=C4CC314,-4.2,augment,,,C1CC2CC34CC3=[NH+][NH+](C[C@H]2C1)C4
C1CCCC1,-2.38,augment,,,C1CCCC1
C1COCCCC1,-2.91,augment,,,C1CCCOCC1
C1CCCCO1,-2.69,augment,,,C1CCOCC1
C1CO1,-2.12,augment,,,C1CO1
C1COC1,-2.31,augment,,,C1COC1
C1CC[C@H1]2CN12,-2.68,augment,,,C1C[C@H]2CN2C1
C1C2NNCN12,-3.24,augment,,,C1NNC2CN12
O=C/C/C(=C)/C=C/C=C/N=C(S)C=C=C=C=C=CC=CF,-4.71,augment,,,C=C(/C=C/C=C/N=C(S)C=C=C=C=C=CC=CF)CC=O
CCOC(=C)C#CNC=CC1OCCSC1N=O,-3.87,augment,,,C=C(C#CNC=CC1OCCSC1N=O)OCC
CC(C)NC(=C)C#CNC=NC=C(CC1CC)C2C1C2=C,-4.51,augment,,,C=C(C#CNC=NC=C1CC(CC)C2C(=C)C12)NC(C)C
COC=CC=C(C(=C)C(C[NH2+1])CC=CC)CC=C[NH1]C,-3.0,augment,,,C=C(C(=CC=COC)CC=CNC)C(C[NH2+])CC=CC
CCNN(C)C(=C)C(=O)C=CC(Br)CC=O,-3.43,augment,,,C=C(C(=O)C=CC(Br)CC=O)N(C)NCC
CSCCCONN(C(=C)C(=O)C=CC)CC=O,-2.36,augment,,,C=C(C(=O)C=CC)N(CC=O)NOCCCSC
C1CCCC[C@H1]1C(=C)C(=O)CC(O)[NH1+1]OC=CC=CC=O,-4.52,augment,,,C=C(C(=O)CC(O)[NH+]OC=CC=CC=O)C1CCCCC1
C1C=CC=C1C(=C)C(=O)N2C[NH1+1]C=CCSC3[C@@H1]4C=NCC3S4=C2,-5.08,augment,,,C=C(C(=O)N1C=S2C3CN=C[C@H]2C3SCC=C[NH+]C1)C1=CC=CC1
CCNC(N)C(=C)C(=O)NC=CC=CC=NNOCCCCCCC,-2.88,augment,,,C=C(C(=O)NC=CC=CC=NNOCCCCCCC)C(N)NCC
CCC=CCOC(=O)C(=C)C1OC1=O,-3.71,augment,,,C=C(C(=O)OCC=CCC)C1OC1=O
C1C[C@@H1](C)N1C(=C)C(C)CC(C)=CC(C)CC,-3.59,augment,,,C=C(C(C)CC(C)=CC(C)CC)N1CC[C@H]1C
C=C(C)C(C)C1CN1OCCC2CCCC#C2,-3.25,augment,,,C=C(C)C(C)C1CN1OCCC1C#CCCC1
C=C(C)C(C)NC=CCCCN(N1)CC=CC=C1Cl,-3.88,augment,,,C=C(C)C(C)NC=CCCCN1CC=CC=C(Cl)N1
C=C(C)C(O)C(=O)N1C(C=O)C=C1C=O,-3.56,augment,,,C=C(C)C(O)C(=O)N1C(C=O)=CC1C=O
C1CCCCONCCCCNC(=O)CCCC1(CC)C(C)=C,-4.32,augment,,,C=C(C)C1(CC)CCCCCONCCCCNC(=O)CCC1
C=C(C)C1(CS)CC1CN,-3.41,augment,,,C=C(C)C1(CS)CC1CN
C1[C@H1](O)N2[C@@H1](C)NC2(C(C)=C)NC=C1C=CN=O,-4.78,augment,,,C=C(C)C12NC=C(C=CN=O)C[C@H](O)N1[C@@H](C)N2
C1=C(C(=C)C)CC=NNNC=CC=C1C,-4.47,augment,,,C=C(C)C1=CC(C)=CC=CNNN=CC1
C[C@H1](C=CC=CC=C1C(=C)C)CC2C=CCCC2CC=CC1,-5.21,augment,,,C=C(C)C1=CC=CC=C[C@@H](C)CC2C=CCCC2CC=CC1
CCOC(C=CC#CCC[C@H1]1N)CC2CCOCC=C2C1C(C)=C,-4.79,augment,,,C=C(C)C1C2=CCOCCC2CC(OCC)C=CC#CCC[C@H]1N
CC1(C)OC(C)CC(C(C)=C)NC(C2)=C2C=CC1,-4.53,augment,,,C=C(C)C1CC(C)OC(C)(C)CC=CC2=C(C2)N1
CC(C)C(N)C1(N)C(C(=C)C)CCC=NC=C1NN=NCNOC=CN,-1.94,augment,,,C=C(C)C1CCC=NC=C(NN=NCNOC=CN)C1(N)C(N)C(C)C
C=C(C)C=C(C)OCC=CSCCl,-2.71,augment,,,C=C(C)C=C(C)OCC=CSCCl
CC(=C)C=C(CCC=O)CCC(Cl)F,-3.03,augment,,,C=C(C)C=C(CCC=O)CCC(F)Cl
CC(=C)C=CN(OC(C)=CC=NC=CC(Cl)=CC)C,-3.36,augment,,,C=C(C)C=CN(C)OC(C)=CC=NC=CC(Cl)=CC
CC(=C)C=CN=C=CBr,-3.77,augment,,,C=C(C)C=CN=C=CBr
CNC#CC1C2=CC(=C)CCN=CC(N2NN=CC(=C)C)C1=O,-4.27,augment,,,C=C(C)C=NNN1C2=CC(=C)CCN=CC1C(=O)C2C#CNC
CC(C)OC=CCCCC(=O)CC=[C@H1]CC(=C)C,-2.67,augment,,,C=C(C)CC=CCC(=O)CCCC=COC(C)C
CC(=C)CCC1=CC=CSON(CCCCC)C1NC=CC(C)C,-3.86,augment,,,C=C(C)CCC1=CC=CSON(CCCCC)C1NC=CC(C)C
