ligand_idx,smiles,delta_g_kcal_mol,mw,rot_bonds,hbd,hba,qed,sa,n_rings,max_poly_run,max_alkyne_run,pains_flag,brenk_flag,source
131,[C][C]1[C][C][C][C]1[C]1[C][C][C][C]1,0.0,132.121,1,0,0,0.4968,7.9674,2,0,0,0,0,recovered_735
132,[C]/[C]=[C]/[C]=C1\[C][C][C]2[C][C][C][C]1[C]2[C][C]/[C]=[C]/[C]=[C]/[C]O[C],0.0,268.23,7,0,1,0.6387,7.079,2,2,0,0,1,recovered_735
133,[C][C]([C])[C]c1[c][c][c]c([C])c1[C],0.0,144.132,2,0,0,0.5835,7.7538,1,0,0,0,0,recovered_735
134,[C][C][C]/[C]=C([C])/[C]=[C]/[C]=C(/C#C[C])[C]1[C]=[C][C]=C([NH])N1[C][C],0.0,269.242,6,0,1,0.5239,7.517,1,3,1,0,1,recovered_735
135,[C][C][C][C][C](N)[C][C]/[C]=[C]/[C]N1[C]=[C][C]=[C][C]1[C][C]([C])[C],0.0,258.239,10,1,2,0.6227,7.5693,1,2,0,0,0,recovered_735
136,[C][C][C][C]1[C][C]NC([C]Cl)=[C]1,0.0,158.567,3,1,1,0.6464,7.3411,1,1,0,0,0,recovered_735
137,[C][C][C]=[C],0.0,48.044,1,0,0,0.4001,7.4353,0,1,0,0,0,recovered_735
138,[C]C1=[C][C](/C([C])=[C]/[C][N][O])C([C][C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C])=[C]1,0.0,270.226,9,0,0,0.4462,7.5873,1,4,0,0,1,recovered_735
139,O=C([C]S)[C][C][C][C][C]=C=[C]Cl,0.0,192.626,6,1,2,0.3822,6.388,0,2,0,0,1,recovered_735
14,O=C([C]Cl)NC1=N[C][C]=C(SC2=C3ON[C][C]3[C][C]2)[C]1,0.0,299.698,3,2,5,0.8116,6.7592,3,1,0,0,0,recovered_735
140,[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/c1[c][c][c]c([C])c1N1[C][C]=[C][C]=C1[NH],0.0,281.253,5,0,1,0.7525,7.7402,2,4,0,0,1,recovered_735
141,[C][C][C][C][C][C][C]([C])[C][C][C],0.0,132.121,7,0,0,0.4512,7.4507,0,0,0,0,1,recovered_735
142,[C]/[C]=[C]/C([C])=[C]/C([C])=[C]/[C]=[C]/[C][C]=[C],0.0,168.154,5,0,0,0.5424,7.512,0,4,0,0,1,recovered_735
143,[C][C]C1=[C]C(/[C]=[C]/[C][C]2[C]([C])[C](O)[C]3[C]=[C][C][C]23)=[C][C]1,0.0,245.216,4,1,1,0.7957,7.4757,3,3,0,0,0,recovered_735
144,[C][C][C]/[C]=C(\[C]=[C]\[C]=[C]\[C][C])c1[c][c][c][c]n1,0.0,206.183,6,0,1,0.6375,7.6623,1,3,0,0,1,recovered_735
146,[C]/[C]=[C]/[C]=C(\[C])[C]C1=C(/[C]=[C]/[C][C][C]2[C][C]3[C][C]2[C]N[C]3[C]F)[C][C][C]1,0.0,322.277,8,1,1,0.675,7.1297,3,2,0,0,1,recovered_735
147,[C][C][C@]1([C])[C][C]=[C][C]=C1[C][C]=O,0.0,148.12,3,0,1,0.5661,7.9489,1,2,0,0,0,recovered_735
148,[C][C]/[C]=[C]/[C]=C1\[C]=N[C]([C][C]2[C]([C])[C][C][C]2[C][C][C][C][C]O[C]N)C1=N,0.0,325.286,11,2,4,0.4388,7.4143,2,2,0,0,1,recovered_735
149,[C][C][C][C]C(=N)[C][C][C][C][C]([C])[C],0.0,159.147,8,1,1,0.4019,7.2111,0,0,0,0,1,recovered_735
15,[C][C]/[C]=[C]/[C]=[C]/[C]=[C]/c1[c][c][c][c]c1[C]=O,0.0,196.164,5,0,1,0.6379,7.4514,1,3,0,0,1,recovered_735
150,[C][C]/[C]=[C]/[C]=C(\[C][C]1[C][C]=[C][C]([C][C])[C]1[C])C1=[C]O[C][C]=[C]1,0.0,268.23,6,0,1,0.6673,7.8486,2,4,0,0,1,recovered_735
151,[C]/[C]=[C]/[C]=[C]/Cl,0.0,95.508,1,0,0,0.428,6.8972,0,2,0,0,1,recovered_735
152,[C]/[C]=[C]/[C]=[C]/[C]=[C]/C1=[C]C([C])=[C]N([C][C][C]2[C][C][C][C]2[C])N1,0.0,269.242,6,1,2,0.7226,7.7044,2,5,0,0,1,recovered_735
153,[C][C]([C])N[C]c1[c][c][c][c]c1/[C]=[C]/[C]=[C]/[C]=[C],0.0,207.191,6,1,1,0.5399,7.6361,1,3,0,0,1,recovered_735
154,[C][C]/[C]=[C]/[C][C]C1=[C]C([C])=[C][C]1,0.0,144.132,4,0,0,0.5543,7.6366,1,2,0,0,0,recovered_735
155,O=[C]C1=[C][C]=[C][C][C]1,0.0,100.076,1,0,1,0.4585,7.4931,1,2,0,0,0,recovered_735
157,[C][C][C][C][C]([C])[C]([C])/[C]=[C]/C#CCl,0.0,179.585,5,0,0,0.5616,7.002,0,1,1,0,1,recovered_735
158,[C][C]NC(=[C])[C]c1[c][c][c][c]c1[N][C]=[C],0.0,185.165,6,1,1,0.6448,7.6274,1,1,0,0,1,recovered_735
159,[C][C]1[C][C]2[C][C][C][C]1[C]2/C(O)=[C]\[C]=[C]\[C]=[C],0.0,197.172,3,1,1,0.5338,7.9915,2,3,0,0,1,recovered_735
16,[C]=[C]c1[c][c][c][c]c1[C][C]/[C]=[C]/[NH],0.0,159.147,4,0,0,0.6207,7.6161,1,1,0,0,0,recovered_735
160,[C][C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]1[C][C]1[C]1[C][C]1,0.0,240.22,8,0,0,0.5656,7.549,2,6,0,0,1,recovered_735
161,[C][C][C][C]/[C]=[C]/[C]=[C]/[C]N/[C]=[C]/[C],0.0,159.147,7,1,1,0.3235,7.3411,0,2,0,0,1,recovered_735
162,[C][C]/[C]=[C]/[C]=[C]/C1=C(/[C]=C2\[C]=[C]N[C]N2)[C]=[C][C]1[C],0.0,234.217,4,2,2,0.6965,7.5587,2,5,0,0,1,recovered_735
163,O=C([C][C][C][C][C]1[C]=[C]c2[c][c][c][c]c21)[C]1[C]2[C][C][N][C]1[C]=[C][C]2,0.0,294.248,6,0,1,0.7174,6.7582,4,1,0,0,1,recovered_735
164,[C]N[C][C][C]/[C]=[C]/[C]=C1[C][C][C][C]1,0.0,159.147,5,1,1,0.4561,7.6473,1,2,0,0,1,recovered_735
165,[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]c1[c][c][c][c]n1,0.0,194.172,5,0,1,0.6358,7.6505,1,4,0,0,1,recovered_735
166,[C][C]([C])/[C]=[C]/[C]=[C]/c1n[c][nH]n1,0.0,151.128,3,1,2,0.619,6.9959,1,2,0,0,1,recovered_735
167,[C]/[C]=[C]/[C]=[C]/[C]1[C][N]N(/[C]=[C]/c2[c][c][c][c]c2[C])[C]1,0.0,232.201,4,0,1,0.6982,7.7933,2,2,0,0,1,recovered_735
168,[C][C]/[C]=[C]/C#Cc1[c][c]c([C])[c]c1[C][C]N/[C]=[C]/[C],0.0,231.213,5,1,1,0.4522,7.4403,1,1,1,0,1,recovered_735
169,[C][C][C][C][C@@]1([C][C@]2(O)[C][C][C][C]=[C]2)[C][C][C][C]1C([C])=O,0.0,249.204,6,1,2,0.7206,6.5298,2,1,0,0,0,recovered_735
17,[C][C]/[C]=[C]/[C]=[C]/[C]=[C]/c1[c][c][c][c]c1[C]([C])N[C]1[C][C][C][C][C]1[C][C],0.0,303.279,8,1,1,0.7189,7.8741,2,3,0,0,1,recovered_735
170,[C][C]/[C]=[C]/[C][C][C]/[C]=[C]/c1[c][c][c][c]c1-c1[c][c][c][c]c1N[C],0.0,279.257,8,1,1,0.7311,7.8934,2,1,0,0,1,recovered_735
171,[C][C][C][C][C]N[C][C]/[C]=N/[C](O)C1=[C][C][C][C]=[C]1,0.0,226.194,9,2,3,0.3403,7.3847,1,2,0,0,1,recovered_735
172,[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]/[C]=[C]/[C]=C1/[C][C@]2([C])[C][C]N1[C]2,0.0,230.205,5,0,1,0.64,7.7863,2,3,0,0,1,recovered_735
173,[C]C(=O)/[C]=[C]/[C][C]1[C][C][C]=[C][C]1,0.0,148.12,3,0,1,0.5287,7.3824,1,1,0,0,1,recovered_735
174,[C]c1[c][c][c]c([C])[c]1,0.0,96.088,0,0,0,0.447,7.9443,1,0,0,0,0,recovered_735
175,[C]=[C]/[C]=[C]/[C]=[C]/[C][C][C][C]1[C][C][C][C]1,0.0,168.154,6,0,0,0.4118,7.675,1,3,0,0,1,recovered_735
176,[C][C][C][C][C]c1[c][c][c][c]c1[C],0.0,144.132,4,0,0,0.5546,7.7485,1,0,0,0,1,recovered_735
177,[C]O/[C]=[C]/C#C[C][C]([C])[C],0.0,124.098,2,0,1,0.3846,7.0714,0,1,1,0,1,recovered_735
178,[C][C][C]/C([C])=C(\[C])[N][C][C]/N=[C]/[C]=[C]/[C]=[C]/[C]=[C]/N[C][C],0.0,259.227,11,1,2,0.2488,7.5763,0,3,0,0,1,recovered_735
179,[C][C]([C])[C][C][C]C#CCl,0.0,131.541,3,0,0,0.3987,6.7308,0,0,1,0,1,recovered_735
18,[C][C]C1=[C][C]N[C]1c1[c]nn([C]([C])/[C]=[C]/[C])c1/[C]=[C]/[C]C([C])=O,0.0,287.237,7,1,3,0.772,7.3079,2,1,0,0,0,recovered_735
180,[C]1[C][C]=C2[C][C][C][C]2[C]1,0.0,108.099,0,0,0,0.4304,3.7089,2,1,0,0,0,recovered_735
181,[C]/[C]=[C]/[C]=C([C])\C([C])=[C]\[C]=[C]\Cl,0.0,167.574,3,0,0,0.562,7.2229,0,4,0,0,1,recovered_735
182,[C][C][C]([C])[C][C][C][C][C][N]/[C]=[C]/[C]c1[c][c][c][c]c1N[C][C]N,0.0,285.265,13,2,2,0.4136,7.6078,1,1,0,0,1,recovered_735
183,[C][C]([C][C][C][C]1[C][C][C][C]1)[C]/[C]=[C]/[C]=[C],0.0,180.165,7,0,0,0.5166,7.7181,1,2,0,0,1,recovered_735
185,[C][C][C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]1[C][C][C][C]=[C]1,0.0,180.165,5,0,0,0.5579,7.7321,1,3,0,0,1,recovered_735
186,[C]N/[C]=[C]/[C][C]S[C][C]1[C][C]C2=C1[C]=[C][C]2,0.0,215.236,6,1,2,0.5312,7.6013,2,2,0,0,1,recovered_735
187,[C][C]/[C]=[C]/[C]=[C]/[C]/[C]=[C]/[C]=[C]/[C]1[C][C][C][C]2[C][C][C][C]21,0.0,240.22,6,0,0,0.6189,7.7846,2,2,0,0,1,recovered_735
188,[C]/[C]=[C]/[C]=[C]/[C]=C(\[C])c1[c][c][c][nH]1,0.0,159.147,3,1,0,0.6356,7.6178,1,3,0,0,1,recovered_735
189,[C][C][C]/[C]=[C]/[C][C][C][C][C][C]1[C]2[C][C][C][C]1[C]([C]1[C]N[C]([C])[C]1)[C]2,0.0,291.268,9,1,1,0.6329,7.2028,3,1,0,0,1,recovered_735
190,[C]=[C]c1[c][c][c][c]c1[C][C]O[C][C][C]Cl,0.0,207.595,7,0,1,0.6198,7.4455,1,1,0,0,1,recovered_735
191,[C]([C][C]1[C]2[C][C]=[C][C]1[C][C]=[C]2)[C]C1=[C][C][C]=[C]1,0.0,204.187,4,0,0,0.6499,7.3651,3,2,0,0,0,recovered_735
192,[C]/[C]=[C]/[C]=C(\[C])[C][C][C]C#C[C],0.0,144.132,4,0,0,0.3121,7.3128,0,2,1,0,1,recovered_735
193,[C]/[C]=[C]/[C]/C([C]/C([C])=[C]/[C]=[C]/[C]=[C]/[C]=[C])=C1/[C]N2[C]=[C][C]=[C][C@]2([C])N1,0.0,305.275,7,1,2,0.7059,6.3141,2,4,0,0,1,recovered_735
194,[C][N][C]([C][C][C]c1[c][c][c][c]c1[C])c1[c][c][c][c]c1N,0.0,246.228,6,1,1,0.7567,7.7201,2,0,0,0,1,recovered_735
195,[C][N][C][C]N1[C]N[C]C([C])=C1/[C]=[C]/C1=[C][C][C][C][C]1,0.0,235.205,5,1,2,0.7387,7.8341,2,3,0,0,0,recovered_735
196,[C][C]/[C]=[C]/[C]=[C]/[C]/C([C])=[C]/[C]C([C])([C])[C],0.0,180.165,6,0,0,0.5389,7.6263,0,2,0,0,1,recovered_735
197,[C]/[C]=[C]/C(=O)N([C])[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C][C]F,0.0,241.18,8,0,1,0.3509,7.0523,0,4,0,0,1,recovered_735
198,[C][C][C][C][C]([C])[C][C][C]([C])[C]1[C][C][C][C]1c1[c][c]c([C])[c]c1Cl,0.0,299.695,8,0,0,0.6923,7.6775,2,0,0,0,0,recovered_735
199,[C]/[C]=[C]/[C]=[C]/[C]([C])[C]N([C])[C][C]c1[c][c][c]c2c1[C][C]([C])[C]2,0.0,266.238,7,0,1,0.5345,7.8298,2,2,0,0,1,recovered_735
2,[C]/[C]=[C]/[C]=C(N)\[C]=[C]\[C]=[C]\[C]=[C]\[C]=C1\[C][C][C]2[C]([C])[C][C][C]21,0.0,268.254,5,1,1,0.7465,7.5262,2,6,0,0,1,recovered_735
20,[C]C(=O)[C][C]/[C]=[C]/c1[c][c][c][c]c1/[C]=C1/[C][C]=[C][C]=C1N[C]=[C],0.0,283.245,7,1,2,0.7552,7.6709,2,3,0,0,1,recovered_735
201,[C][C][C]([C])/C([C][C][NH])=[C]\[C]=[C]\[C]=[C]\[C],0.0,171.158,6,0,0,0.5293,7.358,0,3,0,0,1,recovered_735
202,[C]=[C][C][C][C][C][C]1[C][C][C][C]1,0.0,132.121,5,0,0,0.4873,7.715,1,1,0,0,1,recovered_735
203,[C][C][C]C1=C2[C]([C][C][C]1)[C][C][C]2[C][C][C]=[C],0.0,192.176,5,0,0,0.6181,7.5923,2,1,0,0,0,recovered_735
204,[C][C][C][C][C]/[C]=[C]/C#C/[C]=[C]/[C]([C])[C][C],0.0,180.165,6,0,0,0.4233,7.2595,0,1,1,0,1,recovered_735
205,[C]1=[C]C(=[C]c2[c][c][c][c][c]2)[C]=[C]1,0.0,144.132,1,0,0,0.5534,3.5939,2,3,0,0,0,recovered_735
206,[C]c1[c][c][c][c]c1/[C]=[C]/[C@@]([C])(N)/[C]=[C]/[C][C]=[C],0.0,208.199,5,1,1,0.7503,7.9581,1,1,0,0,0,recovered_735
207,[C]c1[c][c][c]c(Cl)c1/[C]=[C]/[C]=[C]/O,0.0,184.581,2,1,1,0.5497,6.8413,1,2,0,0,1,recovered_735
208,[C][C][C]1[C][C][C](/[C]=[C]/[C][C]=O)/C(=[C]\[C]=[C]\[C]/[C]=[C]/[C]=[C]/[C])[C]1[C],0.0,280.241,8,0,1,0.614,7.501,1,2,0,0,1,recovered_735
209,[C][C]1[C][C]1[C]1[C][C]1,0.0,84.077,1,0,0,0.4354,7.3433,2,0,0,0,0,recovered_735
21,[C]/[C]=[C]/[C]=[C]/[C]=C([C])/[C]=[C]/C(=O)[C][C]([C])[C]([C])[C]=[C],0.0,232.197,8,0,1,0.4509,7.3218,0,4,0,0,1,recovered_735
210,[C]O/[C]=[C]/[C]=[C]/[C]=C1/[C]=[C][C][C]=C1Cl,0.0,195.584,3,0,1,0.4925,7.2899,1,4,0,0,1,recovered_735
211,[C][C]/[C]=[C]/[C]=C1/[C][C][C]([C])[C]1,0.0,132.121,2,0,0,0.5248,7.6528,1,2,0,0,0,recovered_735
212,[C]/[C]=[C]/[C]=C=[C]C1=[C][C]=[C][C@@]2([C])[C]1[C][C][C@@]2(N)[C][C]/[C]=[C]/[C]=[C]/[C],0.0,292.276,6,1,1,0.5748,7.0498,2,5,0,0,1,recovered_735
213,[C][C][C]/[C]=[C]/C1=[C][C]=C(S)[C]C1([C])[C],0.0,189.218,3,1,1,0.639,7.5498,1,3,0,0,1,recovered_735
215,[C][C][C][C]c1[c][c]c([C])c([C]([C])[C][C][C]([C])[C])[c]1,0.0,216.198,7,0,0,0.6495,7.7558,1,0,0,0,0,recovered_735
216,[C]C(=O)N/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C],0.0,151.124,4,1,1,0.4374,6.7799,0,4,0,0,1,recovered_735
217,[C]1[C][C][C]([C][C][C]2[C]=[C][C]N2)[C]1,0.0,147.136,3,1,1,0.6089,7.819,2,1,0,0,0,recovered_735
218,[C][C]/[C]=[C]/[C]=[C]/[C][C]1[N][C][C]/C1=[C]/[C]=C(N)/[C]=[C]/[C]=N,0.0,249.232,7,2,2,0.4975,7.2452,1,3,0,0,1,recovered_735
219,[C][C]([C])[C][C]c1[c][c][nH]c1[C]([C])[C][C][C]1[C][C]2[C][C][C]([C])[C]1[C]2,0.0,279.257,7,1,0,0.783,7.1213,3,0,0,0,0,recovered_735
22,[C][C]([C])[C]C1=[C][C]=[C][N]1,0.0,110.095,2,0,0,0.4833,7.6777,1,2,0,0,0,recovered_735
220,[C][C][C][C][C][C][C]1[C][C][C]([C])C1=[C],0.0,156.143,5,0,0,0.5233,7.5703,1,1,0,0,1,recovered_735
221,[C][C]/[C]=[C]/[C]1[C][C]2[C]=[C][C]=C(O)[C]2[C]([C])[C]1[C],0.0,209.183,2,1,1,0.7281,7.3419,2,2,0,0,0,recovered_735
222,[C][C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]C(=O)[C][C][C]1O[C][C][C]C1=[C],0.0,272.218,9,0,2,0.5879,7.4631,1,4,0,0,1,recovered_735
223,[C]C(=O)[C][C]/C([C])=[C]/[C]=[C]/[C]1[C]2[C][C][C]1[C]O[C]2,0.0,224.174,5,0,2,0.6454,7.9957,2,2,0,0,1,recovered_735
224,[C][C][C][C](Cl)/[C]=[C]/[C]=N/[C][C][N][C][C]Cl,0.0,231.041,9,0,1,0.4255,6.9815,0,1,0,0,1,recovered_735
225,[C]/[C]=[C]/C(=[C])/[C]=[C]/[C]=[C]/[C]1[C][C]/C(=[C]\O[C])[C]1C#CCl,0.0,267.65,5,0,1,0.421,7.2612,1,4,1,0,1,recovered_735
226,[C][C]/[C]=C(\[C])[C]N/[C]=[C]/[C]=[C]/[C][C]([C])[C],0.0,183.169,7,1,1,0.4526,7.4586,0,2,0,0,1,recovered_735
227,[C][C]/[C]=[C]/[C]=[C]/[C]1[C][C][C]2[C][C][C][C]2[C]1[C]([C])[C],0.0,216.198,4,0,0,0.6241,7.7438,2,2,0,0,1,recovered_735
228,[C][C]([C])/C([C])=[C]/[C]=[C]/Nc1[c][c]c([C]([C])[C]O)c(C#[C])[c]1,0.0,260.231,6,2,2,0.4619,7.5352,1,2,1,0,1,recovered_735
23,[C][C]([C])[C]S[C][C][C]Nc1[c][c][c]c([C])c1[C],0.0,227.247,7,1,2,0.5649,7.5807,1,0,0,0,1,recovered_735
230,[C][C]([C])S[C][C]/[C]=[C]/[C]c1[c][c][c][c]c1[C],0.0,212.232,6,0,1,0.6496,7.7025,1,1,0,0,1,recovered_735
231,[C]1[N][C]2[C][N@@]12.[C][C][C]/[C]=[C]/[C]=[C]/[C][C],0.0,172.146,4,0,1,0.4363,7.8659,2,2,0,0,1,recovered_735
232,[C][C][C]/C([C])=N/[C][C]N[C]1[C][N][C]([C]2[C]=[C][C]=[C]N2)[C]1[C],0.0,262.231,7,2,3,0.377,7.6095,2,2,0,0,1,recovered_735
233,[C]/[C]=[C]/[C]=[C]/[C][C][C]([C])c1[c][c]c2c([c]1)[C][C][C]=[C]2,0.0,228.209,5,0,0,0.6729,7.858,2,2,0,0,1,recovered_735
235,[C][C]([C])[C][C]([C])/[C]=[C]/[C]/[C]=[C]/[C]=C1/[C]=[C][C]=C([C])O1,0.0,232.197,6,0,1,0.6747,7.5696,1,4,0,0,0,recovered_735
236,[C][C]/[C]=C(\[C])[C]/C([C])=[C]/[C]=[C]/[C]=[C]/[C],0.0,168.154,5,0,0,0.5424,7.512,0,3,0,0,1,recovered_735
237,[C][C]/[C]=C([C])/[C]=[C]/[C]=C(\[C])[C]=[C],0.0,144.132,4,0,0,0.5186,7.5075,0,4,0,0,1,recovered_735
238,[C][C]([C]/[C]=[C]/C1=[C][C]=[C]O[C]1)[C]1[C][C][C]N1[C],0.0,210.171,4,0,2,0.6834,7.8759,2,3,0,0,0,recovered_735
239,[C][C][C]/C([C])=[C]/[C]([C][C][C]([C])[C][NH])[C]/[C]=N/C(N)=O,0.0,241.209,9,1,1,0.5819,6.8449,0,1,0,0,1,recovered_735
24,[C][C]([C])[C][C][C][C]([C])[C]=O,0.0,124.098,5,0,1,0.5132,7.0644,0,0,0,0,0,recovered_735
241,[C][C][C][C][C][C][C][C]C1=[C][C]n2[c][c][c]c21,0.0,194.172,7,0,0,0.5733,7.6935,2,1,0,0,1,recovered_735
242,[C]C(=[C])/[C]=[C]/[C]=[C]/[C]C1=[C]C(Cl)=[C][C]1/[C]=[C]/[C]=[C]/[C]Cl,0.0,287.104,7,0,0,0.6313,7.2417,1,3,0,0,1,recovered_735
243,[C][C]/[C]=[C]/[C]/[C]=[C]/[C]=[C]/[C]=[C]/[C]=[C]/c1[c][c][c][nH]1,0.0,219.202,7,1,0,0.6657,7.6065,1,4,0,0,1,recovered_735
244,[C]C(=[C])[C][C]1[C][C][C]([C]2[C][C][C][C@]23[C][C]=[C][C]3F)[C]1,0.0,235.196,3,0,0,0.7003,7.4718,3,1,0,0,0,recovered_735
