idx,smiles,delta_g_kcal_mol,source
47,CCOC=NC1C=CC=C=C1C=C(N)C=CNNCCC(C)CN=C=O,-3.92,augment
48,O=C(OC[NH1+1]NC=NC=CC=CNF)NOCC,-2.91,augment
49,C=CC(=O)NC(CCC)(C=C)COC(ONC)[NH1]COCCCO,0.0,augment
50,COC=CC=C(C1C)NC=NC1C=CC=C,-3.76,augment
51,C1C(C2)(C3NC31CC=N)C=C(N)C2(Cl)C=C=C,-4.17,augment
52,C1OC=CC=C(C)N(C2C=C1C(C)=C2C)CCC=O,-3.68,augment
53,C1CC=CS=CC2(N(S)CC=O)CC=CC(=C)C=C2S1=NC,-3.64,augment
54,CC[NH2+1]CC1=C(C)CC=C1CCCCCN,-4.05,augment
55,C1C=NC=CC=C1,-2.88,augment
56,CC(CC[C@H1]C=O)OC#CCC=CC=C(C(=O)COC1=CS1)OC,-2.53,augment
57,COCCCC(C=O)N,-2.33,augment
58,CCC(O)C=CN(C=NC=CC)O[C@@H1](C1)[C@H1]1CC#CC,-3.72,augment
59,C[C@H1]C1(C=C1NCCC[NH1+1]CCC=C)C=CC=CC#CCC#CC=C,-2.89,augment
60,O=C(NC[C@@H1](C)C=1C=C2C=C2C=1C=CN=CC)CC=CC=CF,-4.31,augment
61,CC(C)COC1[NH1+1]CCOC[C@H1]2OCCC(N)C=C1C=C2C,0.0,augment
62,CCCCCCCSC[C@@H1](C=CC=O)C1C[NH1+1](C)CCC=NC1=N,-3.62,augment
63,CCOC(=O)C=CC=C1C(C1N)C=CC=O,-3.63,augment
64,CC(N)(C)OCCNC(Cl)C=O,-1.88,augment
65,CC=CC=CCSCC=CC1(O)C2COC=NC=CN=C(O)C=CC=CN=C21,-4.64,augment
66,CCC=CC=C(C)C(=O)CCCN(O)C,-3.61,augment
67,C1[C@H1](CCC=CC2=CC=C1C=C2)CCCNC(=O)NC=O,-4.82,augment
68,C=CCNC=CC=CCOCC(=O)NC(O)C1=CC=CCC1(C=CC#C)C,-3.22,augment
69,C#CCC(C=O)CNCCNC(C)(C=O)CC=CF,-1.44,augment
70,CC=NC=CC[C@@H1]COC=CC(O)[C@@H1]C=C,-2.32,augment
71,O1[NH1+1](C)[C@H1](C2NC(C)=C2CCl)COCC(C)CS1C,-4.02,augment
72,C[C@@H1](CC=CCCCCC)NCNC=CC=CC=CC=CCF,-2.72,augment
73,CC=CC=CC(=O)NO[C@@H1](N)[C@H1]NCSC=CC=CS(CCC)=CF,-3.75,augment
74,CCN(S)C=CC(=O)/C=CC=CN(S)S1(O)=C=CC=C1CCC=CC,-4.09,augment
75,CC=CCCC(N1C=CC(=O)N1)C(C=O)=CC=CC,-3.74,augment
76,CCC1NCC=CC=CC=C1N(C)O[C@H1]2CC2CCC,-3.58,augment
77,CCSC(N/C(=O)CCC=CC=CCC1OC=O)(C)C1Cl,-4.12,augment
78,C12NC=C3C1(C=O)CC(C)CCCCC=C32,-4.13,augment
79,CCCCOC(C)(O)C(CCC1C)C=C2C=C21,-3.24,augment
80,O=C(CCC=CC=CSCCCCN)C1=C(NCCC)C(C)C(O)C2=C1S2,-2.81,augment
81,CC=NN=C(C1=C/C(=O)[C@@H1]COC=SCC1CNC)N=C,-3.24,augment
82,CC(=O)CCCC=CC(=O)N1CCSC=C1C=O,-3.81,augment
83,[NH3+1]CC=NN(C=C)S=CCN1NCCNCCCCSC=N1,-4.01,augment
84,CC(C)C(O)CC=CC(C)(C)C1N(C2)CC2=N1,-3.74,augment
85,COC1=C2CCN1C3=CC4(C)C=CC(C)C4CNC3=NN2,-4.34,augment
86,CCOCCC(S)C=O,-2.56,augment
87,C[C@@H1]CC(C)NC(CC(=O)C=NC=NN=CC=CCCC)C1CC2CC2=C1,-4.13,augment
88,CCS1CC[C@@H1]=CN1C=O,-3.53,augment
89,C[C@H1]CNC(C)[NH1+1]CCCC(NNCCCCC)(C)C=CCCCSOS#C,0.0,augment
90,C1C(C)(N)C1=NC2C=CCC=C2C(C)C=C=C,-3.98,augment
91,CN(NC(C1)NC(N)C(C)=CC=C)C1N,-3.01,augment
92,CCOC=CC1=[NH1+1]SC=C1N(C)C=CCBr,-3.25,augment
93,COC(C(=O)N(C)N(CC=CC)CC=C)NCF,-2.32,augment
94,C=CCC1[C@@H1](C2)C3C(=O)C[NH1+1](C)[NH1+1]C=CC(C)CC1C=CS2CC3,0.0,augment
95,CCC1[C@H1]([C@@H1])NCCC=C1C=2NC3=CN3C=2C=O,-4.08,augment
96,O=C(CC=CC(C)=CC=C1CC1CC=NCNN)NC[C@H1][C@H1]CCC,-3.63,augment
97,N#CCCCNC(C)[C@@H1]C1COC(CCCC1)OC=CC=C=S,-3.1,augment
98,CCC=CC=C=NN(CN)CC=CC=CC=NC(CC=COSNC[NH1+1]C)CCCC,-3.36,augment
99,C[NH1+1](C1)CC=CCC(CC[C@@H1])(C)C=C1F,-3.51,augment
100,N1C(=O)CN(C=C1C2OCCN3C)NCC=C3C2C,-4.23,augment
101,CCOC=CC=CC1=C/C=C/C1CSCC=O,-3.59,augment
102,C1COC=CN1NCC(C)C=CCC=NC=NN[C@H1]C=CC(=C)C(C2)(O)C2C,-3.07,augment
103,CC[NH2+1]CN(C(C)=C1C=C1CC)OCC,-2.92,augment
104,C1C[NH1+1]C=CN(CCC=NC(N)C=CC=C1)C=C,-4.43,augment
105,CC=NCC(CC)(OC1CC(O)C)NCCCC=CCO1,-4.21,augment
106,CCC=CC=C=CO[C@@H1](C1C)C2=[C@@H1]CCCCC(C)C2CC1=O,-5.1,augment
107,C[C@@H1](C)NCC=CC(C(C)C=CC=CC=CC=CC1=C)C=CC=C1,-5.61,augment
108,CC[C@@H1]C(C)C=O,-2.84,augment
109,CC(C)CNC=CN=CC=NCC(C)=C=CC,-3.31,augment
110,CC=C=C(CCO)C(CNC=CC(C(=O)N)C=NC)=NN=CCC,-3.05,augment
111,CC=CCC=O,-2.82,augment
112,C1COC=CCCNCCN(C2=O)[C@H1](S)CN2CC=NC=CC=C1C,0.0,augment
113,C1CC2CNC(C(=O)C1NNC)=CCCCC=CC=CC=N2,-4.81,augment
114,CCC[NH1]C#C,-2.2,augment
115,C1CCCCONCCCCNC(=O)CCCC1(CC)C(C)=C,-4.32,augment
116,C1CSCC[C@@H1]CCNC=CC(C)CC(C)CS1=O,-4.52,augment
117,CC[C@@H1]C(C[NH2+1]CCC)CC1OCC=C1OC2=CC=CC2CC3=CC3,-3.36,augment
118,O=C([O-1])C=CCC#CN,-3.72,augment
119,CC=C(O)C(C=C1[C@@H1]CCC=C1C)C=O,-4.06,augment
120,CCC=C1C=C=CNC2=CC=CCS1C=C2C=CC=C[NH1]C,-4.46,augment
121,C1[NH1+1]C=NC(C=C2C=CNC1=O)C2=C3CC3,-4.0,augment
122,CC=C1C(O)NC2CC=CC=CS=CC3=C1C=CC=C23,-4.62,augment
123,O=CCCNC[C@@H1][C@@H1](C=CC(=C1)C=O)CCC1(N)C(C)C=CCO,-1.44,augment
124,C1=C(NC(C)N(C)C1F)CC=O,-3.36,augment
125,COC1=CC=C(N)NCC(=O)C=CC1=NNC=O,-3.75,augment
126,CC(CCN(C)CC1=O)NCC2CCCC=C2C1N,-4.58,augment
127,C[C@H1]C=CC=CC[NH1+1](N)C1=CCSNCC[NH1+1]CCCC=C1C(C)NC,-4.07,augment
128,CCNC=NN1N(CSC(O)C2=CC=CC)CC2C1C(N)C=CO,-3.25,augment
129,CCN(C)NCCCSCCN(C1)[C@H1]C(N)(C)C=CC(C)C2=CC2C=C1C,-2.22,augment
130,C[C@H1]CCN1C(=O)CCC=C(C)CN=C(C)C=C1OF,-3.51,augment
131,COC=C=CCC1[C@H1]NC=NCNN1CC=C=O,-3.88,augment
132,CC=CC1=CC[C@H1](N)NC([C@@H1])CC[C@@H1]CCOCC(F)C1,-4.51,augment
133,CC1=CC1C(=O)N=O,-4.11,augment
134,C1CC=CC=CONCCOC(C)CCNC=C[NH1]C=C1C=C,-4.87,augment
135,O=CCC=CCCCNC=CC#CC1C2=C=C=C2C13C=N3,-4.17,augment
136,C[C@@H1](OCCCC=C=SC)CC=CCNSCCC=NC=O,-1.18,augment
137,C[C@@](C[C@H1])[C@@H1]1C(C)C=CC1=O,-3.33,augment
138,C=1[C@@H1]CCC=C=1,-2.51,augment
139,C=C(CC)CC=CCCSN(CC)OC=CNCC,-2.9,augment
140,O=C(N)[C@@H1]C=CC(=O)NC(N)C=CC=CC(=C)CCC(C)C(C)F,-4.2,augment
141,CCCCSOCNCCCNC1CC(O)C=C1C=CC=O,-3.37,augment
142,CC=C[C@H1]CCOCC[C@H1]CCCC1CCCC1CS,-2.51,augment
143,CC=C=C(N)C(C)C(=O)NCCC[C@@H1](C)CCCN(C)CCCF,-2.19,augment
144,CCO[C@@H1](C)C=O,-2.59,augment
145,CCC1CC[C@H1](C)CC1CC2C=CC=CC2C=O,-4.41,augment
146,O=C(COC=CC1=CC(Cl)C1C2)CC=CN2CN=NC,-3.89,augment
147,CCCCNC(CC)CCCCCCCCCCCF,-1.67,augment
148,C1OCC[NH1+1](CN=C2O)C(C)=C2N(C)C1N[C@@H1]CCC=CC#C,-2.9,augment
149,C1CC=CC=C1C=O,-3.68,augment
150,C1OC=CC=C1,-2.67,augment
151,CCC1(CNC(O)C(C)=COCCCC=C1C2=NN=O)C(C)=C2,-4.79,augment
152,CCC=NC=C[C@@H1][NH1+1]CCNC(O)NCC[C@@H1]CCC=CC(C)C=CC=CCC,-3.52,augment
153,C=1=COC=CN(C#CCCCC)C=CC=1,-3.83,augment
154,CCNSNC(NCC=O)=O,-3.1,augment
155,COC=C1C=C(F)CN(CCCC)C1C2=CCOC2O,-2.96,augment
156,C1COC=CCC[C@@H1]CCC2NC21,-3.89,augment
157,CC=NC(C=C)C=CC=SNC=CC=C(Cl)[C@H1]ONCCO[C@H1]CCC,-3.62,augment
158,COCCC=1C(C)CCN=1,-3.12,augment
159,C1C=CC(CN(C)C(C)CCCCCC=CCCC2=CC)(C)CC=C21,-5.49,augment
160,C1=CC12CCNC=C2C(=O)[O-1],-3.8,augment
161,CCC[C@@H1]C(C)=[C@H1]NNC(=O)N(O)[C@@H1]C=CC1CCCC1=C,-4.08,augment
162,CCCC=CC(SC)C=CNC=[NH1+1]C[C@@H1]CCCCN(CC=CC)C,-2.73,augment
163,C=CC=CC1CC=CC=NC=CC(O)CCC=C1COC,-3.92,augment
164,O=C(C1=CC=C2N=C1)OCCC=CC=NC=C(CC)C3NC2C=CC=CCC=CC=CC=CC(OC)C3,-5.86,augment
165,CNC(=C)C=CCCCCC=NC(Cl)C#C,-2.62,augment
166,CC=CC=C(NCCC=O)CCC=C,-2.45,augment
167,CCOCCOC(=O)C[C@@H1]1NC(=C)C=C(F)C=C1,-2.26,augment
168,CCOCCC(=O)NC=CCC1NN=CC1CCC=CCC=NC=O,-2.62,augment
169,CCNCNC[NH1+1]CCC1NCCC[C@@H1]1C2CCCC2CC=C,-3.15,augment
170,CC=CC[C@@H1](C)C(CN)CCCCSCC,-2.74,augment
171,CC[C@H1](CCC=C(C)CNCCC=CC=C)COC=C,0.0,augment
172,CC=NC=O,-2.57,augment
173,CCN(C=C)N=CCC=CC,-3.04,augment
174,CC=CC=CN1C[C@H1](CCC=O)ON=C1NC=O,-3.79,augment
175,C=C1CC2C(C)NN2NC=CCCC=C1Cl,-4.46,augment
176,C1C(C)[C@@H1](CC2=C1)NC=NC2=C,-3.76,augment
177,C#CCCNCS=CC=O,-2.98,augment
178,CCC[C@H1](ON)C=CC=C(C)N(O)C=CC=CC1=CC1=N,0.0,augment
179,CC[C@@H1](N)C(=O)CCC(C)C1=CCCN2C=C21,-3.69,augment
180,CCCN=NC1(NC(NC)C=N)C=CNC2CNCCC2CC1C,-3.47,augment
181,CCOCC1=CC(=O)C=C1C=O,-3.38,augment
182,CC=CC=C[NH1+1]CCC(=O)CCN(N)NC=CNCCCCN(C)N=C1CC1,-2.41,augment
183,C1[C@@H1]C(CCSC1)NC=CC2CC=CC=C2C=O,-4.26,augment
184,CC[NH1+1]CC(S)C=O,-2.4,augment
185,C1COC(C=CC=O)CCCNCC(C2)NC2CCC1=NS,-3.87,augment
186,COC=CC#CCC=CC=O,-2.98,augment
187,O=CCC=CC(NC=O)C=O,-3.31,augment
188,CC(C=O)C=NN=C=C,-3.51,augment
189,CC[C@@H1]C(CCCC=CC/C=CCCNC=CC1=C2CCCC1N2)CC3=NS3CCC,-3.05,augment
190,C1C=C1C=C2CC2(C)C,-3.28,augment
191,O=C(CN)C=CC=CC(=O)CC(CC=C)NC(Cl)=C=C,-3.39,augment
192,CC=CC=CC=CC=CC=CCC(N)CCCOC=CN,-3.12,augment
193,C1CCCOCCSC=CNC(CCN)C(F)C=CN1OCC=CN(C)CC=CC=C,-3.04,augment
194,COC=CC=CC=C=O,-3.52,augment
195,C[C@@H1](O)N[C@@H1](C=CC=CC=CCl)O[C@H1](C)C=O,-2.59,augment
196,C1C(CCCN)C=C/C(=C)/C(=O)CC=CC2=CC=CC=C2C=N1,-5.27,augment
197,C[C@H1]C[C@@H1]CSCCCCC[O-1],-2.73,augment
198,CC(C)C=NC=C(C=O)CC=CN=NC=CC=CCC1=NC1,-4.03,augment
199,CC(C)N[C@@H1](C)NC=NCCC1[NH1]C1C=NC=O,-2.85,augment
200,CC=CC(CC=NC)(O)C=CCC=CNNCCSCCC(O)CC#C,-1.96,augment
201,C[C@H1](NC=CC=CCC=O)NCCCC=CC=CC=CC=O,0.0,augment
202,C12CC(C=C[C@@H1]1C=N)=CC3(N)C(C)C=C=S32,-4.84,augment
203,CCCON(CC)C(=O)N=CCCC1=SS1,-3.11,augment
204,C=1OC=CC=C=1,-2.6,augment
205,COC[C@@H1](O)C=O,-2.62,augment
206,CC(CCCS1C=CCCO)C=CC=C(CC2)C=C12,-4.5,augment
207,CCCC(CCCNCC1C[NH1+1]=O)=C1CC=CCCCO,-3.86,augment
208,CCOCC[C@@H1]OCN[C@@H1](OC)[C@@H1]C(=N)CC=C1C=C1NC,-1.42,augment
209,C1C2CC=CCC(C)C=C(CC=C(OCCC)CC)CS21,-4.14,augment
210,C1CC=CCC#C1,-2.65,augment
211,C[C@H1]CN1CN1C[C@H1](CCC(=O)CCCCC=CCC2C)C#C2,-4.78,augment
212,CCC=CC1=CCOC=C1C[NH2+1]C[C@H1]CCC=CN=CN2CCCCC2CC,-3.64,augment
213,CC(C)=CC(C=CC[C@@H1]1C(C)(C)C=CC(NC1)=CCNO)C,-5.37,augment
214,C1[NH1+1](CNNCNCC=NC=C(N)C=C2CON)CC=C2CC1C,-4.73,augment
215,C1C(C)NC(N)C(=O)CC=NN1C(C)=CC=CC=CC=C,-3.92,augment
216,C[NH1+1]OC1C(C(=N2)N(S=CCC=C=C(Cl)C23Cl)C1=CCC3)C=O,-4.3,augment
217,C=[C@@H1]OCCNNCC(CCC)=CC=CNC[O-1],-3.57,augment
218,COC12C=C1C(=O)N3C(C)C=CC=CN=C2CC4C3=CCC=C4,-4.81,augment
219,CC=CC=CNN=CC=CC1(NC)C=C1CC2C(C=CNN2)ONCCCCl,-3.45,augment
220,C=CC[C@H1](C)OC=O,-2.58,augment
221,C=1OC=1C2(C)NC=CC=NN=C(OC)CC=C2F,-3.53,augment
222,CCC=NC=C=CC=CC=CC(=O)CCC=CC(COC=COC=C1C=CON)CC=C1,-5.03,augment
223,CC=CC(CCNC=O)C=O,-3.09,augment
224,CCC=CC=CCCOC(=O)N=CCNCC,-2.88,augment
225,CN=CNC(CCC=O)C(C=CC=CC1NC(C)C1)C,-4.14,augment
226,C1COC=CC=NC2[C@@H1](C)CC=CC(Cl)C=C2C=CCC1,-4.93,augment
227,CCCCC(C=NC=O)CC=CCC,-2.99,augment
228,CCC1C(SCC1CNC2C=CC=CC(=C)C=C2)[C@@H1]CCCC=O,-5.49,augment
229,COC=CC=C1C#C1,-2.57,augment
230,CCC[C@@H1](NCCC=CC=CC(=O)NC=CC1OC=CC1)C2C[NH1]2,-3.97,augment
231,CCCOCOC=CC(C)NC=CCS1CC=CN=C1C=CC=CCl,-2.96,augment
232,C=COC=CC=C/C=CC=C(CCC12C=C1OO2)C=CCCC=O,-4.21,augment
233,C=C(CC1CC[NH1+1]C=CCCCC(=O)N)C=C1C2=CC#CC=C2,-3.67,augment
234,CCCNC=CCCOC1CC[NH1+1](C)CC=CC(C[NH1+1]CCCC(=C)CC)C=C1,-4.13,augment
235,C=C(N(C)CCCC)C=O,-2.95,augment
236,CC(C)=CC1C=CC#CCN2CCCCC=C2C=CC=CS1,-5.27,augment
237,CCN(CC=CC)C(N1)CCC[NH1+1](C1)C(=O)C=O,-3.69,augment
238,CCN(CC)CCCNC(C)CC(O)CC1(C)C=C(F)N=C1,-1.77,augment
239,C1[C@@H1]C1CCCCCCCCCC=CC(=NN)C=O,-3.25,augment
240,CCCCC(O)CCCC=CCC12CC3NN1CCNC4CC42C=CC3,-3.02,augment
241,C1CN(C1C=CC=CNC=O)CN2C(=N)C=CCC=CCNCCC2,-4.9,augment
242,CC=NC=O,-2.57,augment
243,C1[C@H1]C=CC=C1C=C(CN)NCC(C)=NCCCCC=C,-3.31,augment
244,C=1[C@@H1]CC=CC=C=1,-2.79,augment
245,CS([C@@H1])[C@@H1]C=O,-2.84,augment
246,CCC=C(C)NOC(=O)C1C2C=CCC1C2CCCCC,-3.9,augment
247,CC[NH2+1]CC(C)(C(=O)[C@H1]C(=O)O)C[C@@H1]CCC(=O)C#C,-2.84,augment
248,C1CNC=C1C[C@H1](CC)CC=C,-2.97,augment
249,COCCC=O,-2.29,augment
250,CC=NCN(COCCCC=CC=CC=C(F)C=C)F,-3.41,augment
251,C1NCCNC1(C=CCC[NH1+1]C[C@H1][C@@H1]CCC(=O)C2CC2CC)C=C,-2.31,augment
252,C[C@H1]CSCCCCN(C)C=1CC=1NCSC=C=CC,-2.73,augment
253,CC[C@@H1](CSCCC)CCC1OC1C=O,-2.97,augment
254,CCOC=CNC(C1=NNS#CN2C3=CC=C1N2)CC3C,-3.96,augment
255,CC=CC=CC(CCN1CCC=CS12(C)CC3O2)C3C,-4.33,augment
256,CC=CC=CC=CC1=CC=CS2C=NCN2CS=CCC1=CC,-5.01,augment
257,C1=CCCCC2(C13O)CCS2CCC[NH1+1]3C4=CC=CC=C4C=O,-4.41,augment
258,C1CCCCNCC[C@@H1](C=O)CC(CCF)C=C1O,0.0,augment
259,C=CC[C@@H1](C1)[NH1+1]1CC[NH2+1]C2(C)[C@H1](F)C=C2,-3.34,augment
260,CCC=CC=C(N1CCCN1CCCC2CN=C)[NH1+1]2S=C=NC,-3.57,augment
261,C1CN1CCC(=O)CCCCCC,-2.75,augment
262,C=C(C=O)CN(C)NCC(=O)N=NNNNNCC(C)COC,-1.24,augment
263,COC1CC(C=O)(NC1N2CCCC3C(C4)=CC=C3)C2C4,-4.53,augment
264,CCC=C1NC#COC[C@H1]1CCC[C@H1](C(=C)CCl)CN,-3.52,augment
265,CNC(CCC(=O)C1C[NH1+1]C(N2)=C1C2=O)=O,-4.32,augment
266,C1=CCCNC1O,-3.49,augment
267,O=C(N)[C@@H1](O)C(C)(C(C)OC=CC1=CC=CCC1CN)C=C,-3.47,augment
268,CCOC=O,-2.11,augment
269,CC=CC1=CC[NH1+1](O)C[C@H1]NCNC(C2)[C@@H1]C=CCC2=C1,-4.66,augment
270,CCCCCS1=NCC(O)CCCSCCNSC1=C,-3.67,augment
271,CC1=CC=CCN1C([C@@H1])[C@@H1](C)OC([NH1])C=CC=C,-3.46,augment
272,CC(C)=C=CC=CC=CC(=O)NC=C[NH1]C=NC=NC=O,-4.13,augment
273,CCC=CCC([C@H1]C)N=C(O)CCC(O)[O-1],-3.24,augment
274,C[NH1+1](CC(C)C=CNC(C)[C@@H1]C1CS12N)C(=O)C=C2[C@@H1]CP,-4.69,augment
275,COC[C@@H1]CCC=COCC(C)CCC(C)(C)C=C,-2.52,augment
276,CC=CC=CCCC=CCCN[NH1+1]CCN[C@@H1][C@H1]C=NOCC=N,-0.94,augment
277,C1=NC[C@@H1](NN[C@@H1][NH1+1]1C[C@@H1]C=C=O)N=C=C,-4.69,augment
278,C1[NH1+1]C2C[C@H1][C@H1]=CCC=NC(C)C(C3)C2C31,-4.47,augment
279,C1COC=CC=C1CC=CC2CNN=C2CCC=CN3C=NC=C3C=CC,-4.74,augment
280,CC=NN=C=C(C=O)CCCC=O,-3.68,augment
281,C=CCC[C@H1]COC[NH1+1](C)C=O,-2.83,augment
282,CC=CC(C)=CC#CCC[C@H1](C(=O)CCC(F)C)CCF,-2.79,augment
283,COC=CC=C([C@H1]SC=O)CCCC=CCC=CN=C,-3.18,augment
284,CCCNC(=O)CCCCC=CC=CN1[C@H1](CC(O)[C@H1]1)CCCC=CC,-3.65,augment
285,CCOC=NCNCCCC=CC1=CCNNC1C2CCCC=C2,-4.35,augment
286,CCCCCC(C1)=CC=CC=C1OCN2OC=CC=C2C,-3.86,augment
287,CC[C@@H1]C(C)CC=CCC[C@@H1]C=O,-3.05,augment
288,CCOC(C)=CC(NC1[NH1+1]C=O)C=C1,-3.58,augment
289,CC(C)CC1C=C1CSC(CCCC(=O)C=C)C=C,-2.9,augment
290,CC=C(CN)C1N2C=NC=C[C@@](C(O)CC=CC=C2C)(OC)OCCC1Cl,0.0,augment
291,C1CCNC(=O)C2OC=CC=C3C1C(O)C=C32,-4.21,augment
292,COC=CC=O,-2.4,augment
293,CCN=CCC(CN)CC=C,-3.07,augment
294,COC=CC=C1C=C1SCC[NH1+1](C)C=CCCCC=CCOC(S)=NC=O,-1.79,augment
295,C[C@@H1]N[C@@H1][C@@H1](C)CC=C(F)C(NC)CCCS,-3.19,augment
296,C[C@@H1]CC=C(N1[C@@H1]C2CCCC2N(CN=C(C=CC=C)C)C)CC=N1,-3.38,augment
297,CC1C=CC=CC(=O)C(C(=O)[NH1+1]CC=CC(C)OC1C=C=O)CC,-5.13,augment
298,C=C1OC=NCC(C)(CCCC)CC=C1,-3.52,augment
299,COC1=CC=C(C2[C@H1]1CNC=O)C(C)CCCC=CC=NNS=N2,-4.54,augment
300,COC=CN=C=CI,-3.1,augment
301,CC=CC=C(CS)CCOC=CC(O)CCC(C)=CCCC,-2.68,augment
302,CCCNC=C=CCN[C@H1],-3.02,augment
303,C[C@@H1]C[C@@H1]CNC=CCN=C(O)[C@@H1](C)NN(C)C=C,-2.6,augment
304,O=S(=C)C=CC=CNC1=NC1N2CCCC=C2C,-4.48,augment
305,CNC(=O)C=C(C[C@@H1]C(S)C1C=O)CC=C1C,-3.71,augment
306,COC(=O)N=CCCCNC(=O)CCCCCC=CC=CC=C1C=CC=C1CF,-2.53,augment
307,CNCSC=CCCOC=CC1(C=C=C(N1CCC)C=O)C2C=CNC2C3=CC3,-2.9,augment
308,CCC=C=NCCNCCCCC1CC1F,-3.07,augment
309,COCC[C@H1]CCCC[NH2+1]CCCC=C=CC=C=CCBr,-2.11,augment
310,CCCNCNC1=CC=CC=C1CCCC2(CC)C=C2C=C,-3.71,augment
311,C1C2C(PCOC=O)ON=CC=C2CCCC1,-3.69,augment
312,COC=CC1=C(C(C)C=O)C=CN=CS1CCCCC,-3.94,augment
313,C=C1C(N2)C3=C1CCN32,-3.75,augment
314,CCCC=C(NC1[C@@H1]CCC[NH2+1]CCCC)CNC(C)CCS1,-3.75,augment
315,COC(C)[C@H1](N)C(=O)CSCCC(O1)C1CCC,-2.02,augment
316,CCC1CCC=C1CC=C(C=CC=C2C=C2NC=NC=N)CSSCl,-4.84,augment
317,CC[C@H1]C[NH1+1]C1CNC=CC(C)C2=CC=CC=C21,-4.12,augment
318,C1=CC=CNCC1C=CC=CC=CC=CCC=O,-4.66,augment
